station,tdist,tsect,tsub_sect,district,section,subsection,reference_station,reference_station2,reference_station3,area_km2,area_nmi2
KZG,1,1,2,Kodiak,Northeast,Kizhuyak Bay,NA,NA,NA,21.2,6.19
KZE,1,1,2,Kodiak,Northeast,Kizhuyak Bay,NA,NA,NA,25.8,7.52
KUF,1,5,1,Kodiak,Westside,Kupreanof-Viekoda,NA,NA,NA,11.3,3.29
KUG,1,5,1,Kodiak,Westside,Kupreanof-Viekoda,NA,NA,NA,15.4,4.5
KUI,1,5,1,Kodiak,Westside,Kupreanof-Viekoda,NA,NA,NA,6.4,1.87
KUS,1,5,2,Kodiak,Westside,Uganik Bay,NA,NA,NA,12.1,3.54
KUQ,1,5,2,Kodiak,Westside,Uganik Bay,NA,NA,NA,20.6,6
UYBX,1,5,3,Kodiak,Westside,Uyak Bay,NA,NA,NA,21.5,6.26
UYHX,1,5,3,Kodiak,Westside,Uyak Bay,NA,NA,NA,4.1,1.2
UYFX,1,5,3,Kodiak,Westside,Uyak Bay,NA,NA,NA,22.1,6.43
UYEX,1,5,3,Kodiak,Westside,Uyak Bay,NA,NA,NA,29.9,8.71
UYO,1,5,3,Kodiak,Westside,Uyak Bay,NA,NA,NA,3.4,0.98
UYKX,1,5,3,Kodiak,Westside,Uyak Bay,NA,NA,NA,13.9,4.04
UYMX,1,5,3,Kodiak,Westside,Uyak Bay,NA,NA,NA,20.8,6.07
UYQX,1,5,3,Kodiak,Westside,Uyak Bay,NA,NA,NA,7.7,2.24
UYT,1,5,3,Kodiak,Westside,Uyak Bay,NA,NA,NA,2.8,0.83
UYSS,1,5,3,Kodiak,Westside,Uyak Bay,NA,NA,NA,6,1.76
KUT,1,5,2,Kodiak,Westside,Uganik Bay,NA,NA,NA,9.4,2.74
KUV,1,5,2,Kodiak,Westside,Uganik Bay,NA,NA,NA,4.1,1.2
KUW,1,5,2,Kodiak,Westside,Uganik Bay,NA,NA,NA,5.2,1.51
KUXB,1,5,2,Kodiak,Westside,Uganik Bay,KUX,NA,NA,4.1,1.19
KUXA,1,5,2,Kodiak,Westside,Uganik Bay,KUX,NA,NA,5.6,1.62
KUU,1,5,2,Kodiak,Westside,Uganik Bay,NA,NA,NA,13.7,3.98
KUP,1,5,2,Kodiak,Westside,Uganik Bay,NA,NA,NA,13.3,3.88
KUNX,1,5,2,Kodiak,Westside,Uganik Bay,KUN,KUO,NA,10.6,3.1
KUYA,1,5,1,Kodiak,Westside,Kupreanof-Viekoda,KUY,NA,NA,4.1,1.19
KULB,1,5,1,Kodiak,Westside,Kupreanof-Viekoda,KUL,NA,NA,2.7,0.79
KUM,1,5,1,Kodiak,Westside,Kupreanof-Viekoda,NA,NA,NA,10.5,3.06
KUK,1,5,1,Kodiak,Westside,Kupreanof-Viekoda,NA,NA,NA,14.1,4.1
KULA,1,5,1,Kodiak,Westside,Kupreanof-Viekoda,KUL,NA,NA,2.1,0.61
KUJ,1,5,1,Kodiak,Westside,Kupreanof-Viekoda,NA,NA,NA,17,4.95
RAA,1,5,1,Kodiak,Westside,West Afognak,NA,NA,NA,6.7,1.96
MAA,1,5,1,Kodiak,Westside,West Afognak,NA,NA,NA,10.5,3.07
PMA,1,5,1,Kodiak,Westside,West Afognak,NA,NA,NA,15.1,4.4
121,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
120,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
91,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
61,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
60,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
90,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,80.3,23.4
119,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
118,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
171A,1,6,1,Kodiak,North Mainland,North Mainland,171,NA,NA,11.4,3.33
171C,1,6,1,Kodiak,North Mainland,North Mainland,171,171B,NA,7.6,2.23
171D,1,6,1,Kodiak,North Mainland,North Mainland,171,171B,172,28.6,8.34
172B,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,79.5,23.17
145,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
117,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,97.8,28.5
146,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
173,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
198,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
222,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,103.2,30.09
223,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
CHK,1,1,1,Kodiak,Northeast,Chiniak Bay,NA,NA,NA,8.6,2.5
CHL,1,1,1,Kodiak,Northeast,Chiniak Bay,NA,NA,NA,14.1,4.1
CHF,1,1,1,Kodiak,Northeast,Chiniak Bay,NA,NA,NA,12.7,3.7
KZC,1,1,2,Kodiak,Northeast,Kizhuyak Bay,NA,NA,NA,12.3,3.6
4262,6,,3,Chignik,,Chignik Bay,NA,NA,NA,21.4,6.25
MOF,2,1,2,South Peninsula,Western,Morzhovoi Bay,NA,NA,NA,20,5.82
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
COC,2,1,3,South Peninsula,Western,Cold/Belkofski Bay,NA,NA,NA,14.2,4.15
224,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
200,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
174,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
199,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
147,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
2,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.6,24.95
31,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,83.7,24.4
144,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,60.7,17.7
KUD,1,5,1,Kodiak,Westside,Kupreanof-Viekoda,NA,NA,NA,27.1,7.9
KUYB,1,5,1,Kodiak,Westside,Kupreanof-Viekoda,KUY,NA,NA,2.6,0.75
3,1,6,2,Kodiak,North Mainland,North Mainland,NA,NA,NA,85.8,25
BVA,2,2,5,South Peninsula,Eastern,Beaver/Balboa/Unga,NA,NA,NA,13.5,3.93
314,1,1,3,Kodiak,Northeast,Marmot Bay,NA,NA,NA,82.5,24.06
UNI,3,3,1,Eastern Aleutian,Unalaska/Kalekta Bay,Unalaska/Kalekta Bay,NA,NA,NA,19.7,5.75
